"date","CPIInflation","StickyCPI"
2006-02-01,2,0.055635842379519
2006-03-01,1.8,-0.106222991970764
2006-04-01,2,-0.107291299193906
2006-05-01,2.2,0.165366753624857
2006-06-01,2.5,0.233189920934561
2006-07-01,2.4,0.36189006607488
2006-08-01,2.5,0.590604879440025
2006-09-01,2.4,0.708715184055558
2006-10-01,2.4,0.715345784027095
2006-11-01,2.7,0.784778128678898
2006-12-01,3,0.892941069922092
2007-01-01,2.7,1.04775516627377
2007-02-01,2.8,0.264070274374819
2007-03-01,3.1,0.485800905460337
2007-04-01,2.8,0.741399024658113
2007-05-01,2.5,0.623628474036354
2007-06-01,2.4,0.575684145440166
2007-07-01,1.9,0.379230780018439
2007-08-01,1.8,0.144666548030307
2007-09-01,1.8,0.386800509537758
2007-10-01,2.1,0.705005952571613
2007-11-01,2.1,0.784775795561971
2007-12-01,2.1,0.953668881041733
2008-01-01,2.2,1.02890138931343
2008-02-01,2.5,-0.0584573766644915
2008-03-01,2.5,0.145016703166231
2008-04-01,3,0.151770076971935
2008-05-01,3.3,0.329320698208619
2008-06-01,3.8,0.7962133678325
2008-07-01,4.4,1.26978618943486
2008-08-01,4.7,1.67017007960297
2008-09-01,5.2,1.61572429273086
2008-10-01,4.5,1.3983491915015
2008-11-01,4.1,1.76134329973868
2008-12-01,3.1,0.799335927708929
2009-01-01,3,0.887332453659904
2009-02-01,3.2,0.464442855376242
2009-03-01,2.9,0.362647548833736
2009-04-01,2.3,0.139248445560368
2009-05-01,2.2,0.0358571323105975
2009-06-01,1.8,-0.440162798570918
2009-07-01,1.8,-0.787304455446824
2009-08-01,1.6,-1.11675836022735
2009-09-01,1.1,-1.33301030580145
2009-10-01,1.5,-1.24050654446997
2009-11-01,1.9,-1.71122174263668
2009-12-01,2.9,-0.805232782395724
2010-01-01,3.5,-0.743942787879372
2010-02-01,3,-0.302874305575554
2010-03-01,3.4,-0.23646611215606
2010-04-01,3.7,0.116793984024919
2010-05-01,3.4,-0.0272777829965504
2010-06-01,3.2,-0.0211207632928799
2010-07-01,3.1,0.211610832508866
2010-08-01,3.1,0.334008100103752
2010-09-01,3.1,0.622259974767595
2010-10-01,3.2,0.416477664491028
2010-11-01,3.3,0.892895860440141
2010-12-01,3.7,1.05136873886993
2011-01-01,4,1.64132428344505
2011-02-01,4.4,0.262503865089458
2011-03-01,4,-0.0473366258332809
2011-04-01,4.5,-0.146932343795026
2011-05-01,4.5,0.18184442679787
2011-06-01,4.2,0.35866311949522
2011-07-01,4.4,0.3831372409999
2011-08-01,4.5,0.523844559580364
2011-09-01,5.2,0.684524763580418
2011-10-01,5,0.468678333271962
2011-11-01,4.8,0.125011406649521
2011-12-01,4.2,-0.0708616275904547
2012-01-01,3.6,-0.905571792204127
2012-02-01,3.4,-0.0901209336356318
2012-03-01,3.5,0.00872917120397844
2012-04-01,3,-0.135138552166445
2012-05-01,2.8,-0.478328830351443
2012-06-01,2.4,-0.68000047489511
2012-07-01,2.6,-0.805566607538399
2012-08-01,2.5,-1.15532716788616
2012-09-01,2.2,-1.37139079274188
2012-10-01,2.7,-1.28860940119591
2012-11-01,2.7,-1.1421792243643
2012-12-01,2.7,-1.09879099678582
2013-01-01,2.7,-1.18216556244925
2013-02-01,2.8,-0.0176429913626198
2013-03-01,2.8,-0.047199325768251
2013-04-01,2.4,-0.0894939600134527
2013-05-01,2.7,-0.048315928782776
2013-06-01,2.9,-0.0970228304413054
2013-07-01,2.8,-0.139027641545721
2013-08-01,2.7,0.0137751494655287
2013-09-01,2.7,-0.0404307139575412
2013-10-01,2.2,0.16047531248087
2013-11-01,2.1,0.0533119481613303
2013-12-01,2,-0.055340763717005
2014-01-01,1.9,-0.0229039241513252
2014-02-01,1.7,-0.0948804771333552
2014-03-01,1.6,0.0104396048706112
2014-04-01,1.8,-0.0811513255311972
2014-05-01,1.5,-0.203784732371138
2014-06-01,1.9,-0.206257313876215
2014-07-01,1.6,-0.250352124116791
2014-08-01,1.5,-0.410789830674865
2014-09-01,1.2,-0.445415540002546
2014-10-01,1.3,-0.581974590165907
2014-11-01,1,-0.71099513274947
2014-12-01,0.5,-0.629602632793067
2015-01-01,0.3,-0.860278077369369
2015-02-01,0,-0.18240537433962
2015-03-01,0,-0.212087677673553
2015-04-01,-0.1,-0.297198992870448
2015-05-01,0.1,-0.121883711936104
2015-06-01,0,-0.264984787216395
2015-07-01,0.1,-0.257964275290209
2015-08-01,0,-0.166150479429951
2015-09-01,-0.1,-0.253264825181692
2015-10-01,-0.1,-0.0920224015931867
2015-11-01,0.1,-0.254228427964703
2015-12-01,0.2,-0.000176027470533576
2016-01-01,0.3,0.0376902363446288
2016-02-01,0.3,0.0256336312638075
2016-03-01,0.5,0.0130765793419994
2016-04-01,0.3,0.1343306287552
2016-05-01,0.3,0.0120632214764532
2016-06-01,0.5,0.179133582620932
2016-07-01,0.6,0.0281746161583438
2016-08-01,0.6,0.10368971043609
2016-09-01,1,0.316902798741441
2016-10-01,0.9,0.206053233353114
2016-11-01,1.2,0.515326450815984
2016-12-01,1.6,0.395053787013617
2017-01-01,1.8,0.565280363746306
2017-02-01,2.3,0.351056336507199
2017-03-01,2.3,0.497033074230948
2017-04-01,2.7,0.465830477523334
2017-05-01,2.9,0.640248053451761
2017-06-01,2.6,0.647302116498592
2017-07-01,2.6,0.879942399989351
2017-08-01,2.9,0.810279611492285
2017-09-01,3,0.779294150828958
2017-10-01,3,1.0532845675719
2017-11-01,3.1,1.08067440279514
2017-12-01,3,1.03399858292834
2018-01-01,3,0.950418650943179
2018-02-01,2.7,-0.109888917226403
2018-03-01,2.5,-0.300352303486611
2018-04-01,2.4,0.0168548065562937
2018-05-01,2.4,-0.0939474662173408
2018-06-01,2.4,-0.137319827365457
2018-07-01,2.5,-0.125052108709524
2018-08-01,2.7,-0.248740334725964
2018-09-01,2.4,-0.140035298515305
2018-10-01,2.4,-0.393978624029362
2018-11-01,2.3,-0.387561384521245
2018-12-01,2.1,-0.436636355105522
2019-01-01,1.8,-0.338460831578416
2019-02-01,1.9,0.0657209831210987
2019-03-01,1.9,0.123918668685168
2019-04-01,2.1,-0.101866332028767
2019-05-01,2,-0.0569681687908805
2019-06-01,2,0.0630020680965678
2019-07-01,2.1,-0.0146652195657829
2019-08-01,1.7,0.1722641019977
2019-09-01,1.7,0.0333904275382518
2019-10-01,1.5,0.111820494533363
2019-11-01,1.5,0.139287516385507
2019-12-01,1.3,0.0534106544065347
2020-01-01,1.8,0.221474829104552
2020-02-01,1.7,-0.0338294040446615
2020-03-01,1.5,0.0428570171828211
2020-04-01,0.8,-0.0135717805478597
2020-05-01,0.5,-0.0360772155182443
2020-06-01,0.6,-0.124330852262225
2020-07-01,1,0.196738595446387
2020-08-01,0.2,-0.774534614641455
2020-09-01,0.5,-0.346460627131791
2020-10-01,0.7,-0.075808395982063
2020-11-01,0.3,-0.714737170950227
2020-12-01,0.6,-0.421409359740698
2021-01-01,0.7,-0.573375610694469
2021-02-01,0.4,-0.0389375179512213
2021-03-01,0.7,0.0752654770226545
2021-04-01,1.5,0.365725782754372
