"","X1.term","X1.estimate","X1.std.error","X1.statistic","X1.p.value","X1.rep.1.5..each...1.","X2.term","X2.estimate","X2.std.error","X2.statistic","X2.p.value","X2.rep.1.5..each...1.","X3.term","X3.estimate","X3.std.error","X3.statistic","X3.p.value","X3.rep.1.5..each...1.","X4.term","X4.estimate","X4.std.error","X4.statistic","X4.p.value","X4.rep.1.5..each...1.","X5.term","X5.estimate","X5.std.error","X5.statistic","X5.p.value","X5.rep.1.5..each...1."
"1","(Intercept)",-0.00106561746661269,0.0213630822323882,-0.0498812603453412,0.960272938713883,1,"(Intercept)",-0.000631126576802842,0.0213886430702305,-0.0295075557028332,0.976492850852392,2,"(Intercept)",0.00519192025522582,0.0242754186580135,0.213875621605889,0.830888842734851,3,"(Intercept)",0.0618977449190698,0.0557580012436433,1.11011412781097,0.268447264405516,4,"(Intercept)",0.0621139426938106,0.0516834338867969,1.20181532113094,0.231031580292124,5
"6","(Intercept)",-0.00157264524645131,0.0329573857722055,-0.047717536133512,0.961994854503132,1,"(Intercept)",-0.00071213737619549,0.0329934103327782,-0.0215842305785528,0.982803789111027,2,"(Intercept)",0.0253158445136666,0.0374545387467819,0.675908591074073,0.49997589977203,3,"(Intercept)",0.129892849232881,0.0862120950325311,1.50666619554793,0.133668868712663,4,"(Intercept)",0.136241971073479,0.0797892630948736,1.70752261380683,0.0894684841089522,5
"11","(Intercept)",-0.00397445418540569,0.0435340519572094,-0.0912952965947731,0.92736061353756,1,"(Intercept)",-0.00298530842707399,0.0434491382840637,-0.0687081158562111,0.945299080294462,2,"(Intercept)",0.0523507354726731,0.0488289425142098,1.07212511222086,0.285115271951261,3,"(Intercept)",0.238780395721996,0.112711486371488,2.11850986451367,0.0355194319033965,4,"(Intercept)",0.250450780627043,0.104064974217874,2.40667700645071,0.0171211973325,5
"16","(Intercept)",-0.0100928706349602,0.0530141527678412,-0.190380683421629,0.849227783264278,1,"(Intercept)",-0.00911005284245291,0.052883693172681,-0.172265821388568,0.863424258235509,2,"(Intercept)",0.0761642184424206,0.0586368534971157,1.2989138042028,0.195653585618832,3,"(Intercept)",0.292845534758765,0.136648248381333,2.14306102147424,0.0334662280117947,4,"(Intercept)",0.340882757141948,0.12552728753995,2.7156068120524,0.0072674428249719,5
"21","(Intercept)",-0.0178413005721956,0.0614294884871727,-0.29043544088636,0.771821226440701,1,"(Intercept)",-0.0169104061847018,0.0611988901365858,-0.276318837595921,0.782623756514661,2,"(Intercept)",0.0974336129012614,0.0671409607729822,1.45117990239528,0.148489852627767,3,"(Intercept)",0.368587027645076,0.157428989107275,2.34129069706415,0.0203242766844332,4,"(Intercept)",0.437286746020246,0.144132133357699,3.03392960218671,0.00277536029440075,5
"26","(Intercept)",-0.0252136492959779,0.0690383260759623,-0.365212349850944,0.715386487461761,1,"(Intercept)",-0.024683696091033,0.0686781771389283,-0.359411054855177,0.719713618794575,2,"(Intercept)",0.120116836664561,0.074382144540743,1.61486116602576,0.108111950361056,3,"(Intercept)",0.469451089258677,0.175208408535232,2.67938675536954,0.00806744578389269,4,"(Intercept)",0.545968506181929,0.15998932510811,3.41253084112331,0.000796748142834907,5
"31","(Intercept)",-0.0321768927488606,0.0751969977883329,-0.427901295201082,0.669240243470861,1,"(Intercept)",-0.0318916828782433,0.0748502407345209,-0.426073217203895,0.67056926757155,2,"(Intercept)",0.141959505478063,0.0800386248069107,1.77363748840679,0.0778329692246875,3,"(Intercept)",0.605396036094764,0.188578171122904,3.21031873673335,0.00157319751594356,4,"(Intercept)",0.660181126871728,0.172224793424382,3.83325254015527,0.000175249264563666,5
"36","(Intercept)",-0.0440936279007386,0.0807776806879803,-0.545864000119773,0.585842880455646,1,"(Intercept)",-0.0441382533455605,0.0803297693404969,-0.549463215292826,0.583376291303619,2,"(Intercept)",0.1587821494506,0.084953216898209,1.86905399522249,0.0632580165797093,3,"(Intercept)",0.688455513624389,0.201333324939153,3.41948117050396,0.000777901220253767,4,"(Intercept)",0.774888162094378,0.182705124519556,4.24119555558189,0.0000356847847274449,5
"41","(Intercept)",-0.0548530283169809,0.0855379885705889,-0.641270963154743,0.522171483590939,1,"(Intercept)",-0.0552216907340092,0.085199611201609,-0.648144867742852,0.517726450799499,2,"(Intercept)",0.173804772172714,0.0890295768352764,1.9522138411855,0.052481488750199,3,"(Intercept)",0.741061786398288,0.212685708043351,3.48430457888238,0.000621145282028757,4,"(Intercept)",0.872496937805394,0.19154828337302,4.55497132337279,0.00000969556182900428,5
"46","(Intercept)",-0.0638260533144475,0.0897179199113127,-0.711408081880859,0.477762639316326,1,"(Intercept)",-0.0641440553267288,0.0892878790641681,-0.71839600177568,0.473455059447276,2,"(Intercept)",0.193597131899857,0.0921418121820774,2.10107797225974,0.037042239334761,3,"(Intercept)",0.799759286930241,0.22234850866901,3.59687272794247,0.000417073120424275,4,"(Intercept)",0.975251175515904,0.198633876447959,4.90979279544702,0.00000205291576708314,5
"51","(Intercept)",-0.0738397894625387,0.0937659963658421,-0.787490053157882,0.432042389152025,1,"(Intercept)",-0.074177118403223,0.093241788791826,-0.795535128233465,0.427361863423472,2,"(Intercept)",0.212135709010617,0.0950074688499462,2.2328319192006,0.0268064229629377,3,"(Intercept)",0.805773168616347,0.232959791039804,3.4588508386783,0.000678786633795885,4,"(Intercept)",1.06286152722855,0.205744603370027,5.16592663826531,0.000000636896546134239,5
"56","(Intercept)",-0.0797777580563975,0.0971058081497656,-0.821554957179872,0.412429263093493,1,"(Intercept)",-0.0811110590012025,0.0973713894357428,-0.833007102715005,0.405957037514831,2,"(Intercept)",0.228248982697176,0.097669050890807,2.33696325105438,0.0205537644310615,3,"(Intercept)",0.840340443251923,0.241741080603852,3.47620040893676,0.000638979556606691,4,"(Intercept)",1.16419666019928,0.211165763432991,5.51318850779859,0.00000012228818388859,5
