,X1.term,X1.estimate,X1.std.error,X1.statistic,X1.p.value,X1.rep.1.5..each...1.,X2.term,X2.estimate,X2.std.error,X2.statistic,X2.p.value,X2.rep.1.5..each...1.,X3.term,X3.estimate,X3.std.error,X3.statistic,X3.p.value,X3.rep.1.5..each...1.,X4.term,X4.estimate,X4.std.error,X4.statistic,X4.p.value,X4.rep.1.5..each...1.,X5.term,X5.estimate,X5.std.error,X5.statistic,X5.p.value,X5.rep.1.5..each...1.
1,(Intercept),-0.001065617,0.021363082,-0.04988126,0.960272939,1,(Intercept),-0.000631127,0.021388643,-0.029507556,0.976492851,2,(Intercept),0.00519192,0.024275419,0.213875622,0.830888843,3,(Intercept),0.061897745,0.055758001,1.110114128,0.268447264,4,(Intercept),0.062113943,0.051683434,1.201815321,0.23103158,5
6,(Intercept),-0.001572645,0.032957386,-0.047717536,0.961994855,1,(Intercept),-0.000712137,0.03299341,-0.021584231,0.982803789,2,(Intercept),0.025315845,0.037454539,0.675908591,0.4999759,3,(Intercept),0.129892849,0.086212095,1.506666196,0.133668869,4,(Intercept),0.136241971,0.079789263,1.707522614,0.089468484,5
11,(Intercept),-0.003974454,0.043534052,-0.091295297,0.927360614,1,(Intercept),-0.002985308,0.043449138,-0.068708116,0.94529908,2,(Intercept),0.052350735,0.048828943,1.072125112,0.285115272,3,(Intercept),0.238780396,0.112711486,2.118509865,0.035519432,4,(Intercept),0.250450781,0.104064974,2.406677006,0.017121197,5
16,(Intercept),-0.010092871,0.053014153,-0.190380683,0.849227783,1,(Intercept),-0.009110053,0.052883693,-0.172265821,0.863424258,2,(Intercept),0.076164218,0.058636853,1.298913804,0.195653586,3,(Intercept),0.292845535,0.136648248,2.143061021,0.033466228,4,(Intercept),0.340882757,0.125527288,2.715606812,0.007267443,5
21,(Intercept),-0.017841301,0.061429488,-0.290435441,0.771821226,1,(Intercept),-0.016910406,0.06119889,-0.276318838,0.782623757,2,(Intercept),0.097433613,0.067140961,1.451179902,0.148489853,3,(Intercept),0.368587028,0.157428989,2.341290697,0.020324277,4,(Intercept),0.437286746,0.144132133,3.033929602,0.00277536,5
26,(Intercept),-0.025213649,0.069038326,-0.36521235,0.715386487,1,(Intercept),-0.024683696,0.068678177,-0.359411055,0.719713619,2,(Intercept),0.120116837,0.074382145,1.614861166,0.10811195,3,(Intercept),0.469451089,0.175208409,2.679386755,0.008067446,4,(Intercept),0.545968506,0.159989325,3.412530841,0.000796748,5
31,(Intercept),-0.032176893,0.075196998,-0.427901295,0.669240243,1,(Intercept),-0.031891683,0.074850241,-0.426073217,0.670569268,2,(Intercept),0.141959505,0.080038625,1.773637488,0.077832969,3,(Intercept),0.605396036,0.188578171,3.210318737,0.001573198,4,(Intercept),0.660181127,0.172224793,3.83325254,0.000175249,5
36,(Intercept),-0.044093628,0.080777681,-0.545864,0.58584288,1,(Intercept),-0.044138253,0.080329769,-0.549463215,0.583376291,2,(Intercept),0.158782149,0.084953217,1.869053995,0.063258017,3,(Intercept),0.688455514,0.201333325,3.419481171,0.000777901,4,(Intercept),0.774888162,0.182705125,4.241195556,3.56848E-05,5
41,(Intercept),-0.054853028,0.085537989,-0.641270963,0.522171484,1,(Intercept),-0.055221691,0.085199611,-0.648144868,0.517726451,2,(Intercept),0.173804772,0.089029577,1.952213841,0.052481489,3,(Intercept),0.741061786,0.212685708,3.484304579,0.000621145,4,(Intercept),0.872496938,0.191548283,4.554971323,9.69556E-06,5
46,(Intercept),-0.063826053,0.08971792,-0.711408082,0.477762639,1,(Intercept),-0.064144055,0.089287879,-0.718396002,0.473455059,2,(Intercept),0.193597132,0.092141812,2.101077972,0.037042239,3,(Intercept),0.799759287,0.222348509,3.596872728,0.000417073,4,(Intercept),0.975251176,0.198633876,4.909792795,2.05292E-06,5
51,(Intercept),-0.073839789,0.093765996,-0.787490053,0.432042389,1,(Intercept),-0.074177118,0.093241789,-0.795535128,0.427361863,2,(Intercept),0.212135709,0.095007469,2.232831919,0.026806423,3,(Intercept),0.805773169,0.232959791,3.458850839,0.000678787,4,(Intercept),1.062861527,0.205744603,5.165926638,6.36897E-07,5
56,(Intercept),-0.079777758,0.097105808,-0.821554957,0.412429263,1,(Intercept),-0.081111059,0.097371389,-0.833007103,0.405957038,2,(Intercept),0.228248983,0.097669051,2.336963251,0.020553764,3,(Intercept),0.840340443,0.241741081,3.476200409,0.00063898,4,(Intercept),1.16419666,0.211165763,5.513188508,1.22288E-07,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X1.term,X1.estimate,X1.std.error,X1.statistic,X1.p.value,X1.rep.1.5..each...1.,X2.term,X2.estimate,X2.std.error,X2.statistic,X2.p.value,X2.rep.1.5..each...1.,X3.term,X3.estimate,X3.std.error,X3.statistic,X3.p.value,X3.rep.1.5..each...1.,X4.term,X4.estimate,X4.std.error,X4.statistic,X4.p.value,X4.rep.1.5..each...1.,X5.term,X5.estimate,X5.std.error,X5.statistic,X5.p.value,X5.rep.1.5..each...1.
1,"lfs[, j]",0.137862675,0.078984441,1.745440909,0.082633712,1,"lfs[, j]",0.149172442,0.092849561,1.60660363,0.109913835,2,"lfs[, j]",-0.015177318,0.029626827,-0.512282932,0.609088059,3,"lfs[, j]",-0.050122642,0.041303935,-1.213507664,0.226543572,4,"lfs[, j]",-0.02775871,0.020830604,-1.332592671,0.18436887,5
6,"lfs[, j]",0.274905266,0.121851363,2.256070495,0.025283008,1,"lfs[, j]",0.309082665,0.143226649,2.157996897,0.032267909,2,"lfs[, j]",-0.068318418,0.045711225,-1.494565461,0.136798549,3,"lfs[, j]",-0.104692925,0.063863459,-1.639324387,0.102911912,4,"lfs[, j]",-0.06059284,0.032158439,-1.884197202,0.061168537,5
11,"lfs[, j]",0.323445069,0.160955836,2.009526819,0.045991842,1,"lfs[, j]",0.409652448,0.188615679,2.171889686,0.031186742,2,"lfs[, j]",-0.145577464,0.059593066,-2.442859133,0.015547964,3,"lfs[, j]",-0.193865397,0.083493451,-2.321923388,0.021369157,4,"lfs[, j]",-0.112164584,0.041942574,-2.674241753,0.008187318,5
16,"lfs[, j]",0.325419601,0.196006044,1.660252895,0.098624178,1,"lfs[, j]",0.436563733,0.229571727,1.901644159,0.058832967,2,"lfs[, j]",-0.224599122,0.071563087,-3.138477287,0.001988213,3,"lfs[, j]",-0.242160566,0.101225121,-2.392297117,0.01778456,4,"lfs[, j]",-0.154927198,0.050592792,-3.062238553,0.002537824,5
21,"lfs[, j]",0.317487286,0.227119559,1.397886151,0.163886821,1,"lfs[, j]",0.481126477,0.265668565,1.811002658,0.071826465,2,"lfs[, j]",-0.301303779,0.081941887,-3.677042248,0.000312255,3,"lfs[, j]",-0.309189954,0.116618901,-2.651285101,0.008742,4,"lfs[, j]",-0.201073275,0.05809133,-3.461330219,0.000672959,5
26,"lfs[, j]",0.207905425,0.255251257,0.814512832,0.416439598,1,"lfs[, j]",0.472267701,0.298136661,1.584064501,0.114954094,2,"lfs[, j]",-0.381741925,0.090779357,-4.205162236,4.1266E-05,3,"lfs[, j]",-0.39638176,0.129789387,-3.054038307,0.002604627,4,"lfs[, j]",-0.252657645,0.064482447,-3.918239102,0.000127036,5
31,"lfs[, j]",0.137907048,0.278021344,0.496030433,0.620484862,1,"lfs[, j]",0.444167848,0.324930011,1.366964678,0.173360289,2,"lfs[, j]",-0.458493371,0.097682783,-4.693696837,5.33602E-06,3,"lfs[, j]",-0.511282281,0.139693325,-3.660033718,0.000332163,4,"lfs[, j]",-0.306445767,0.069413857,-4.414763581,1.75E-05,5
36,"lfs[, j]",0.055338121,0.298654468,0.185291455,0.853211402,1,"lfs[, j]",0.492229752,0.348717019,1.411544964,0.159829592,2,"lfs[, j]",-0.535191938,0.103680775,-5.161920678,6.48865E-07,3,"lfs[, j]",-0.587751748,0.149141979,-3.940887404,0.000116495,4,"lfs[, j]",-0.362667575,0.073637872,-4.925014307,1.91717E-06,5
41,"lfs[, j]",-0.039724412,0.316254469,-0.125609013,0.900183185,1,"lfs[, j]",0.437603564,0.369857336,1.183168542,0.238320183,2,"lfs[, j]",-0.604203099,0.108655751,-5.560709814,9.70356E-08,3,"lfs[, j]",-0.638888895,0.157551501,-4.055111457,7.48413E-05,4,"lfs[, j]",-0.410823758,0.077202038,-5.321410763,3.06909E-07,5
46,"lfs[, j]",-0.016983586,0.331708678,-0.051200307,0.959223318,1,"lfs[, j]",0.503682498,0.387604786,1.299474404,0.195461658,2,"lfs[, j]",-0.679941464,0.112454064,-6.046392963,8.49359E-09,3,"lfs[, j]",-0.693131159,0.164709427,-4.208205748,4.0764E-05,4,"lfs[, j]",-0.460274756,0.080057831,-5.749278343,3.82709E-08,5
51,"lfs[, j]",-0.013270895,0.346675388,-0.038280466,0.969506964,1,"lfs[, j]",0.568946932,0.404768978,1.405609032,0.161583298,2,"lfs[, j]",-0.755303077,0.115951442,-6.513960169,7.24953E-10,3,"lfs[, j]",-0.705983291,0.172569962,-4.090997536,6.50031E-05,4,"lfs[, j]",-0.503510102,0.082923754,-6.071964626,7.44517E-09,5
56,"lfs[, j]",-0.360386875,0.359023473,-1.003797529,0.316838831,1,"lfs[, j]",-0.000102862,0.422695857,-0.000243347,0.99980611,2,"lfs[, j]",-0.816924952,0.119199758,-6.853411141,1.13759E-10,3,"lfs[, j]",-0.739521951,0.179074891,-4.129679748,5.57847E-05,4,"lfs[, j]",-0.551594294,0.08510871,-6.481055716,8.65058E-10,5
