"year","month","value"
1997,3,-0.534759358288761
1997,4,-0.134408602150549
1997,5,0
1997,6,-0.26917900403769
1997,7,-0.53981106612685
1997,8,0.542740841248301
1997,9,0.404858299595157
1997,10,0
1997,11,-0.134408602150549
1997,12,-0.403768506056523
1998,1,-0.405405405405401
1998,2,-0.678426051560377
1998,3,-0.273224043715847
1998,4,-0.273972602739725
1998,5,0.137362637362659
1998,6,-0.274348422496573
1998,7,0
1998,8,-0.275103163686385
1998,9,-0.137931034482752
1998,10,-0.138121546961334
1998,11,-0.276625172890732
1998,12,-0.416088765603329
1999,1,-0.1392757660167
1999,2,0.139470013946985
1999,3,0.139275766016733
1999,4,0.417246175243391
1999,5,0
1999,6,-0.138504155124664
1999,7,0.138696255201132
1999,8,0.277008310249305
1999,9,0.41436464088398
1999,10,0.137551581843187
1999,11,0.137362637362659
1999,12,0.411522633744843
2000,1,0.136612021857907
2000,2,0.136425648021832
2000,3,0.27247956403269
2000,4,0
2000,5,0
2000,6,0.679347826086962
2000,7,0.134952766531726
2000,8,-0.404312668463613
2000,9,0.405953991880925
2000,10,0.269541778975735
2000,11,0
2000,12,-0.403225806451624
2001,1,-0.80971659919028
2001,2,-0.408163265306116
2001,3,0.273224043715858
2001,4,0.408719346049047
2001,5,0.407055630936215
2001,6,0.135135135135123
2001,7,-0.269905533063408
2001,8,-0.270635994587287
2001,9,-0.135685210312086
2001,10,-0.271739130434767
2001,11,-0.95367847411445
2001,12,-0.412654745529573
2002,1,0.276243093922646
2002,2,0
2002,3,0.275482093663926
2002,4,0.686813186813184
2002,5,0.136425648021832
2002,6,-0.136239782016356
2002,7,0
2002,8,0
2002,9,0.272851296043664
2002,10,0.136054421768694
2002,11,-0.135869565217384
2002,12,0.136054421768694
2003,1,0.543478260869579
2003,2,0.540540540540557
2003,3,1.0752688172043
2003,4,-0.664893617021278
2003,5,-0.535475234270422
2003,6,-0.26917900403769
2003,7,0.134952766531726
2003,8,0.269541778975735
2003,9,0.134408602150526
2003,10,-0.134228187919461
2003,11,0.134408602150526
2003,12,0.134228187919461
2004,1,0.268096514745308
2004,2,0.133689839572204
2004,3,0.400534045393863
2004,4,0.39893617021276
2004,5,0.794701986754953
2004,6,0.131406044678073
2004,7,0.262467191601057
2004,8,0.654450261780104
2004,9,0.650195058517555
2004,10,0.904392764857875
2004,11,0.12804097311141
2004,12,-0.639386189258317
2005,1,-0.257400257400264
2005,2,0.387096774193552
2005,3,0.771208226221098
2005,4,1.0204081632653
2005,5,-0.378787878787878
2005,6,0.126742712294026
2005,7,1.13924050632912
2005,8,0.375469336670831
2005,9,1.12219451371569
2005,10,-0.1233045622688
2005,11,-0.493827160493832
2005,12,-0.372208436724564
2006,1,0.498132004981322
2006,2,0.247831474597282
2006,3,0.494437577255868
2006,4,0.861008610086111
2006,5,0.731707317073171
2006,6,0.121065375302676
2006,7,0.483675937122108
2006,8,0.120336943441646
2006,9,-0.600961538461542
2006,10,-0.846432889963733
2006,11,-0.121951219512184
2006,12,0
2007,1,0.244200244200221
2007,2,0.365408038976867
2007,3,0.970873786407767
2007,4,0.600961538461542
2007,5,0.716845878136185
2007,6,0.474495848161327
2007,7,0.354191263282178
2007,8,0.117647058823533
2007,9,0.587544065804946
2007,10,0.700934579439272
2007,11,1.27610208816704
2007,12,0.572737686139746
2008,1,1.13895216400912
2008,2,0.67567567567568
2008,3,1.45413870246085
2008,4,1.87431091510475
2008,5,2.7056277056277
2008,6,1.68598524762908
2008,7,0.621761658031073
2008,8,-1.13285272914521
2008,9,-0.208333333333333
2008,10,-2.08768267223383
2008,11,-1.91897654584221
2008,12,-2.06521739130435
2009,1,-0.66592674805771
2009,2,0
2009,3,-0.111731843575413
2009,4,0.22371364653242
2009,5,0.111607142857162
2009,6,0.557413600891854
2009,7,-0.221729490022171
2009,8,0.111111111111106
2009,9,0.221975582685907
2009,10,0.44296788482836
2009,11,0.661521499448736
2009,12,0.219058050383358
2010,1,0.10928961748633
2010,2,0.109170305676876
2010,3,1.30861504907307
2010,4,1.18406889128093
2010,5,0.212765957446814
2010,6,-0.212314225053079
2010,7,0
2010,8,-0.106382978723396
2010,9,0.212992545260904
2010,10,0.743889479277371
2010,11,0.632911392405067
2010,12,1.15303983228512
2011,1,1.34715025906735
2011,2,0.817995910020453
2011,3,1.62271805273835
2011,4,0.998003992015972
2011,5,0
2011,6,0.197628458498023
2011,7,0.295857988165671
2011,8,-0.0983284169124965
2011,9,0.393700787401574
2011,10,0
2011,11,0.294117647058822
2011,12,-0.293255131964809
2012,1,0.294117647058822
2012,2,0.488758553274682
2012,3,0.875486381322954
2012,4,0.192864030858253
2012,5,-0.76997112608278
2012,6,-0.969932104752669
2012,7,0.0979431929480912
2012,8,0.978473581213302
2012,9,0.484496124031009
2012,10,0.0964320154291265
2012,11,-0.481695568400775
2012,12,-0.387221684414318
2013,1,0.485908649173949
2013,2,1.25725338491296
2013,3,0.0955109837631252
2013,4,-0.667938931297718
2013,5,-0.28818443804034
2013,6,0.0963391136801661
2013,7,0.673724735322412
2013,8,0.191204588910132
2013,9,0
2013,10,-0.763358778625955
2013,11,-0.288461538461537
2013,12,0
2014,1,0.0964320154291265
2014,2,0.19267822736031
2014,3,0
2014,4,-0.0961538461538458
2014,5,-0.0962463907603572
2014,6,-0.19267822736031
2014,7,-0.0965250965250908
2014,8,-0.193236714975853
2014,9,-0.290416263310744
2014,10,-0.679611650485434
2014,11,-0.488758553274682
2014,12,-0.982318271119842
2015,1,-0.793650793650791
2015,2,0.299999999999989
2015,3,0.299102691924213
2015,4,0.099403578528845
2015,5,0.198609731876864
2015,6,-0.1982160555005
2015,7,-0.397219463753729
2015,8,-0.498504486540374
2015,9,-0.200400801603207
2015,10,-0.200803212851397
2015,11,-0.301810865191154
2015,12,-0.403632694248224
2016,1,0.101317122593714
2016,2,0.1012145748988
2016,3,0.303336703741142
2016,4,0.1008064516129
2016,5,0.100704934541795
2016,6,0.40241448692151
2016,7,0.501002004008022
2016,8,0.19940179461615
2016,9,0.199004975124373
2016,10,0.993048659384299
2016,11,0
2016,12,0.294985250737456
2017,1,0.784313725490193
2017,2,0.291828793774318
2017,3,0.290979631425814
2017,4,0.096711798839455
2017,5,0
2017,6,0.0966183574879098
2017,7,0.193050193050204
2017,8,0.481695568400764
2017,9,0.479386385426661
2017,10,0.286259541984735
2017,11,0.380589914367269
2017,12,0.284360189573452
2018,1,0.189035916824198
2018,2,0
2018,3,0.18867924528303
2018,4,0.470809792843685
2018,5,0.843486410496719
2018,6,0.464684014869898
2018,7,-0.185013876040696
2018,8,0.370713623725671
2018,9,0.461680517082175
2018,10,0.367647058823528
2018,11,-0.183150183150182
2018,12,-0.550458715596325
2019,1,-0.0922509225092294
2019,2,0.18467220683287
2019,3,0.184331797235027
2019,4,0.45998160073597
2019,5,0.457875457875456
2019,6,-0.182315405651778
2019,7,0.365296803652981
2019,8,-0.09099181073704
2019,9,-0.0910746812386121
2019,10,-0.273473108477662
2019,11,-0.365630712979892
2019,12,0
2020,1,0.183486238532105
2020,2,-0.183150183150182
2020,3,-0.458715596330272
2020,4,-1.10599078341014
2020,5,-0.0931966449207788
2020,6,0.466417910447769
2020,7,0.278551532033422
2020,8,-0.0925925925925886
2020,9,-0.0926784059314234
2020,10,0.0927643784786714
2020,11,0.370713623725671
2020,12,0.36934441366574
2021,1,0.735970561177557
2021,2,0.639269406392695
2021,3,0.362976406533577
2021,4,0.452079566003616
2021,5,0.720072007200723
2021,6,0.71492403932083
2021,7,0.976042590949411
2021,8,0.615114235500891
2021,9,0.698689956331866
2021,10,1.73460537727668
2021,11,1.02301790281329
2021,12,0.421940928270037
2022,1,1.26050420168067
2022,2,0.829875518672196
2022,3,1.9753086419753
2022,4,2.82485875706215
2022,5,1.56985871271587
